applied_units,arm,bought_units,coin_margin,coins,collected_units,commands_BUILD_COOP,commands_BUILD_PASTURE,commands_CARE,commands_COLLECT_FERTILIZER,commands_DIG,commands_EAST,commands_FEED,commands_HARVEST,commands_NORTH,commands_PASS,commands_PICKUP,commands_PLACE,commands_PLANT,commands_SOUTH,commands_WATER,commands_WEST,discarded_units,escaped_animals,fed_units,harvested_units,ineffective_farm_actions,lost_unfed_bonus_units,match_score,maximum_COW,maximum_GOOSE,maximum_SHEEP,minimum_observed_cash,opponent,overflow_production_units,seat,seed,sold_units,state_roundtrips,terminal_units,uncollected_manure_slots,commands_FERTILIZE
0,care,166,707.0,35536.0,167,2,4,142,167,5,303,160,153,346,0,126,147,38,188,272,455,0,0,160,378,0,0,1.0,2,2,2,17.0,livestock_routine,0,0,1403,544,31,7,2,0.0
40,fertilizer,166,2887.0,38677.0,167,2,4,139,167,6,315,158,153,354,0,146,122,38,187,282,480,0,0,158,421,0,0,1.0,2,2,2,17.0,livestock_routine,0,0,1403,549,31,7,2,40.0
0,routine,180,17074.0,52610.0,167,2,4,170,167,5,323,176,147,340,0,127,164,34,210,254,457,0,0,176,367,0,0,1.0,2,2,2,47.0,market10,4,1,1403,538,31,0,2,0.0
0,feed,129,3769.0,43212.0,171,2,4,173,171,6,333,122,153,340,0,122,188,38,174,281,455,0,0,122,342,0,0,1.0,2,2,2,183.0,market10,0,1,1403,516,31,4,0,0.0
0,care,176,12189.0,50114.0,168,2,4,154,168,5,300,167,150,347,0,128,176,37,202,270,418,0,0,167,381,0,0,1.0,2,2,2,37.0,market10,0,1,1403,553,31,5,2,0.0
25,fertilizer,175,12415.0,51637.0,168,2,4,153,168,4,305,166,153,344,0,141,147,36,191,264,448,0,0,166,419,0,0,1.0,2,2,2,37.0,market10,0,1,1403,568,31,3,2,25.0
0,routine,180,0.0,42663.0,168,2,4,174,168,3,307,176,146,334,0,125,189,33,227,235,438,0,0,176,373,0,0,0.5,2,2,2,27.0,livestock_routine,4,1,1403,545,31,0,1,0.0
0,feed,129,-4161.0,39086.0,171,2,4,176,171,6,327,122,153,339,0,122,190,37,161,276,455,0,0,122,343,0,0,0.0,2,2,2,167.0,livestock_routine,0,1,1403,518,31,3,0,0.0
0,care,166,707.0,35536.0,167,2,4,142,167,5,303,160,153,346,0,126,147,38,188,272,455,0,0,160,378,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1403,544,31,7,2,0.0
40,fertilizer,166,2887.0,38677.0,167,2,4,139,167,6,315,158,153,354,0,146,122,38,187,282,480,0,0,158,421,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1403,549,31,7,2,40.0
0,routine,180,16325.0,54749.0,167,2,4,170,167,5,324,176,147,340,0,127,162,34,208,254,459,0,0,176,367,0,0,1.0,2,2,2,47.0,market10,4,0,1404,538,31,0,2,0.0
0,feed,129,7474.0,45422.0,171,2,4,174,171,6,315,122,149,335,0,122,188,37,180,268,439,0,0,122,337,0,0,1.0,2,2,2,183.0,market10,0,0,1404,508,31,7,0,0.0
0,care,174,14346.0,52980.0,167,2,4,151,167,5,313,165,149,340,0,128,167,37,169,274,448,0,0,165,374,0,0,1.0,2,2,2,37.0,market10,0,0,1404,541,31,9,3,0.0
29,fertilizer,176,18594.0,56718.0,170,2,4,155,170,5,299,167,153,354,0,143,133,37,194,276,457,0,0,167,424,0,0,1.0,2,2,2,37.0,market10,0,0,1404,558,31,16,0,29.0
0,routine,181,0.0,41842.0,168,2,4,174,168,5,307,176,143,326,0,125,175,34,207,241,459,0,0,176,373,0,0,0.5,2,2,2,27.0,livestock_routine,4,0,1404,546,31,0,1,0.0
0,feed,129,-7087.0,36935.0,170,2,4,174,170,5,344,122,151,327,0,122,181,37,168,270,458,0,0,122,340,0,0,0.0,2,2,2,167.0,livestock_routine,0,0,1404,509,31,8,0,0.0
0,care,166,977.0,41207.0,167,2,4,142,167,4,302,160,149,363,0,126,169,38,204,273,433,0,0,160,374,0,0,1.0,2,2,2,17.0,livestock_routine,0,0,1404,542,31,5,3,0.0
36,fertilizer,166,2791.0,44615.0,166,2,4,138,166,6,310,158,151,368,0,142,130,36,222,261,460,0,0,158,410,0,0,1.0,2,2,2,17.0,livestock_routine,0,0,1404,539,31,9,2,36.0
0,routine,180,16325.0,54749.0,167,2,4,170,167,5,324,176,147,340,0,127,162,34,208,254,459,0,0,176,367,0,0,1.0,2,2,2,47.0,market10,4,1,1404,538,31,0,2,0.0
0,feed,129,7474.0,45422.0,171,2,4,174,171,6,315,122,149,335,0,122,188,37,180,268,439,0,0,122,337,0,0,1.0,2,2,2,183.0,market10,0,1,1404,508,31,7,0,0.0
0,care,174,14346.0,52980.0,167,2,4,151,167,5,313,165,149,340,0,128,167,37,169,274,448,0,0,165,374,0,0,1.0,2,2,2,37.0,market10,0,1,1404,541,31,9,3,0.0
29,fertilizer,176,18594.0,56718.0,170,2,4,155,170,5,299,167,153,354,0,143,133,37,194,276,457,0,0,167,424,0,0,1.0,2,2,2,37.0,market10,0,1,1404,558,31,16,0,29.0
0,routine,181,0.0,41842.0,168,2,4,174,168,5,307,176,143,326,0,125,175,34,207,241,459,0,0,176,373,0,0,0.5,2,2,2,27.0,livestock_routine,4,1,1404,546,31,0,1,0.0
0,feed,129,-7087.0,36935.0,170,2,4,174,170,5,344,122,151,327,0,122,181,37,168,270,458,0,0,122,340,0,0,0.0,2,2,2,167.0,livestock_routine,0,1,1404,509,31,8,0,0.0
0,care,166,977.0,41207.0,167,2,4,142,167,4,302,160,149,363,0,126,169,38,204,273,433,0,0,160,374,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1404,542,31,5,3,0.0
36,fertilizer,166,2791.0,44615.0,166,2,4,138,166,6,310,158,151,368,0,142,130,36,222,261,460,0,0,158,410,0,0,1.0,2,2,2,17.0,livestock_routine,0,1,1404,539,31,9,2,36.0
