opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
livestock_fertilizer,joint-feed,commands_CARE,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,applied_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,escaped_animals,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,discarded_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,terminal_feed,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,terminal_noops,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,residual_product_units,-4.5,-9.25,-0.5,4,"{""1501"":-5.0,""1502"":-12.0,""1503"":0.0,""1504"":-1.0}"
livestock_fertilizer,joint-feed,uncollected_manure_slots,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-feed,overflow_production_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-baseline,match_score,0.5,0.5,0.5,4,"{""1501"":0.5,""1502"":0.5,""1503"":0.5,""1504"":0.5}"
livestock_fertilizer,joint-baseline,coins,602.5,315.75,1068.75,4,"{""1501"":272.0,""1502"":447.0,""1503"":399.0,""1504"":1292.0}"
livestock_fertilizer,joint-baseline,coin_margin,599.0,311.5,1066.0,4,"{""1501"":268.0,""1502"":442.0,""1503"":397.0,""1504"":1289.0}"
livestock_fertilizer,joint-baseline,fed_units,-2.0,-2.0,-2.0,4,"{""1501"":-2.0,""1502"":-2.0,""1503"":-2.0,""1504"":-2.0}"
livestock_fertilizer,joint-baseline,commands_CARE,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-baseline,applied_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-baseline,escaped_animals,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-baseline,discarded_units,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
livestock_fertilizer,joint-baseline,terminal_feed,-2.0,-2.0,-2.0,4,"{""1501"":-2.0,""1502"":-2.0,""1503"":-2.0,""1504"":-2.0}"
livestock_fertilizer,joint-baseline,terminal_noops,0.0,0.0,0.0,4,"{""1501"":0.0,""1502"":0.0,""1503"":0.0,""1504"":0.0}"
