opponent,contrast,metric,effect,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
livestock_routine,care-feed,applied_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,care-feed,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,care-feed,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,care-feed,uncollected_manure_slots,1.5,0.5,2.5,4,"{""1401"":1.0,""1402"":0.0,""1403"":2.0,""1404"":3.0}"
livestock_routine,care-feed,overflow_production_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-care,match_score,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-care,coins,3069.75,2393.25,3541.5,4,"{""1401"":3675.0,""1402"":2055.0,""1403"":3141.0,""1404"":3408.0}"
livestock_routine,fertilizer-care,coin_margin,1899.5,1258.25,2443.25,4,"{""1401"":2653.0,""1402"":951.0,""1403"":2180.0,""1404"":1814.0}"
livestock_routine,fertilizer-care,fed_units,-1.75,-2.0,-1.25,4,"{""1401"":-1.0,""1402"":-2.0,""1403"":-2.0,""1404"":-2.0}"
livestock_routine,fertilizer-care,commands_CARE,-2.5,-4.0,-0.25,4,"{""1401"":1.0,""1402"":-4.0,""1403"":-3.0,""1404"":-4.0}"
livestock_routine,fertilizer-care,applied_units,36.25,32.25,39.5,4,"{""1401"":30.0,""1402"":39.0,""1403"":40.0,""1404"":36.0}"
livestock_routine,fertilizer-care,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-care,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-care,uncollected_manure_slots,1.0,-0.5,3.0,4,"{""1401"":1.0,""1402"":4.0,""1403"":0.0,""1404"":-1.0}"
livestock_routine,fertilizer-care,overflow_production_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-routine,match_score,0.5,0.5,0.5,4,"{""1401"":0.5,""1402"":0.5,""1403"":0.5,""1404"":0.5}"
livestock_routine,fertilizer-routine,coins,2082.25,-1913.5,4771.0,4,"{""1401"":5238.0,""1402"":4304.0,""1403"":-3986.0,""1404"":2773.0}"
livestock_routine,fertilizer-routine,coin_margin,2816.25,2520.25,3089.5,4,"{""1401"":3189.0,""1402"":2398.0,""1403"":2887.0,""1404"":2791.0}"
livestock_routine,fertilizer-routine,fed_units,-16.0,-18.0,-12.0,4,"{""1401"":-10.0,""1402"":-18.0,""1403"":-18.0,""1404"":-18.0}"
livestock_routine,fertilizer-routine,commands_CARE,-31.5,-36.0,-23.25,4,"{""1401"":-19.0,""1402"":-36.0,""1403"":-35.0,""1404"":-36.0}"
livestock_routine,fertilizer-routine,applied_units,36.25,32.25,39.5,4,"{""1401"":30.0,""1402"":39.0,""1403"":40.0,""1404"":36.0}"
livestock_routine,fertilizer-routine,escaped_animals,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-routine,discarded_units,0.0,0.0,0.0,4,"{""1401"":0.0,""1402"":0.0,""1403"":0.0,""1404"":0.0}"
livestock_routine,fertilizer-routine,uncollected_manure_slots,1.75,1.0,3.25,4,"{""1401"":1.0,""1402"":4.0,""1403"":1.0,""1404"":1.0}"
livestock_routine,fertilizer-routine,overflow_production_units,-4.0,-4.0,-4.0,4,"{""1401"":-4.0,""1402"":-4.0,""1403"":-4.0,""1404"":-4.0}"
